iter	Passed	Remaining
638	1467	828
639	1469	826
640	1472	824
641	1474	822
642	1476	819
643	1478	817
644	1481	815
645	1482	812
646	1484	809
647	1487	807
648	1487	804
649	1489	802
650	1490	799
651	1493	796
652	1495	794
653	1495	791
654	1498	789
655	1500	787
656	1503	784
657	1505	782
658	1507	780
659	1509	777
660	1512	775
661	1514	773
662	1516	770
663	1518	768
664	1521	766
665	1523	764
666	1523	760
667	1526	758
668	1528	756
669	1529	753
670	1531	751
671	1534	748
672	1536	746
673	1538	744
674	1541	742
675	1543	739
676	1545	737
677	1548	735
678	1550	733
679	1552	730
680	1555	728
681	1557	726
682	1558	723
683	1560	721
684	1563	718
685	1565	716
686	1567	714
687	1567	711
688	1570	708
689	1572	706
690	1574	704
691	1576	701
692	1579	699
693	1581	697
694	1584	695
695	1586	693
696	1589	690
697	1591	688
698	1593	686
699	1596	684
700	1598	681
701	1600	679
702	1603	677
703	1605	674
704	1607	672
705	1609	670
706	1611	668
707	1614	665
708	1616	663
709	1619	661
710	1619	658
711	1622	656
712	1622	653
713	1623	650
714	1625	648
715	1628	645
716	1630	643
717	1632	641
718	1635	639
719	1637	636
720	1639	634
721	1640	631
722	1641	628
723	1643	626
724	1644	623
725	1646	621
726	1648	619
727	1651	616
728	1653	614
729	1655	612
730	1656	609
731	1658	607
732	1661	605
733	1663	602
734	1665	600
735	1668	598
736	1670	596
737	1672	593
738	1675	591
739	1677	589
740	1678	586
741	1680	584
742	1682	582
743	1685	579
744	1687	577
745	1688	574
746	1689	572
747	1691	569
748	1692	567
749	1695	565
750	1695	562
751	1698	559
752	1698	557
753	1700	554
754	1703	552
755	1703	549
756	1703	546
757	1706	544
758	1708	542
759	1710	540
760	1713	538
761	1715	535
762	1718	533
763	1718	530
764	1721	528
765	1723	526
766	1725	524
767	1727	521
768	1730	519
769	1732	517
770	1735	515
771	1735	512
772	1738	510
773	1738	507
774	1740	505
775	1742	503
776	1745	500
777	1747	498
778	1747	495
779	1750	493
780	1752	491
781	1754	489
782	1755	486
783	1757	484
784	1759	482
785	1762	479
786	1764	477
787	1767	475
788	1769	473
789	1771	470
790	1773	468
791	1775	466
792	1778	464
793	1780	461
794	1782	459
795	1784	457
796	1785	454
797	1787	452
798	1789	450
799	1791	447
800	1794	445
801	1794	443
802	1795	440
803	1795	437
804	1796	435
805	1798	432
806	1800	430
807	1801	428
808	1804	425
809	1806	423
810	1808	421
811	1811	419
812	1813	417
813	1815	414
814	1817	412
815	1820	410
816	1822	408
817	1824	406
818	1827	403
819	1827	401
820	1829	398
821	1830	396
822	1832	394
823	1834	391
824	1836	389
825	1838	387
826	1840	385
827	1841	382
828	1843	380
829	1845	378
830	1848	375
831	1850	373
832	1851	371
833	1854	369
834	1856	366
835	1858	364
836	1860	362
837	1863	360
838	1863	357
839	1866	355
840	1868	353
841	1870	351
842	1872	348
843	1873	346
844	1875	343
845	1877	341
846	1879	339
847	1881	337
848	1883	335
849	1885	332
850	1887	330
851	1890	328
852	1892	326
853	1892	323
854	1894	321
855	1896	319
856	1898	316
857	1900	314
858	1903	312
859	1905	310
860	1907	307
861	1909	305
862	1911	303
863	1911	300
864	1913	298
865	1914	296
866	1916	294
867	1918	291
868	1920	289
869	1921	287
870	1923	284
871	1925	282
872	1927	280
873	1929	278
874	1931	275
